trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.3, 'e': 0.003697863716482929}",20,0,33.32042275722286,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.3, 'e': 0.0035175167749121284}",25,11,19.529658260355465,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.003345965457471272}",20,0,24.024977276571928,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.3, 'e': 0.003182780796509667}",20,0,30.09749471378371,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.3, 'e': 0.0030275547453758127}",20,8,19.534450039132683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.0028798991580882404}",30,10,32.695913508502606,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.0027394448187683684}",20,0,26.942922085759793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.3, 'e': 0.0026058405184084983}",30,15,26.929134188490053,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.0024787521766663585}",25,3,32.52032450198139,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.0023578620064902307}",30,0,40.50114977744082,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.3, 'e': 0.002242867719485801}",25,11,24.458221761793105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.002133481770037708}",30,12,30.491054075349524,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.002029430636295734}",25,4,29.996161961370863,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.0019304541362277093}",20,10,16.149125653934963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.0018363047770289056}",20,2,29.704002119415467,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.0017467471362611182}",20,0,31.58922913744514,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.3, 'e': 0.001661557273173934}",30,8,43.680049514981896,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
